département;circonscription;sexe;nom;Parti Politique;Mail;Facebook;;Twitter
Finistère;1ère circonscription;Madame;Annaïg Le Meur;LREM;annaig.lemeur@assemblee-nationale.fr;https://www.facebook.com/annaiglemeurdeputee/;@AnnaigLeMeur_AN;https://twitter.com/@AnnaigLeMeur_AN
Finistère;2ème circonscription;Monsieur;Jean-Charles Larsonneur;AE;jean-charles.larsonneur@assemblee-nationale.fr;https://fr-fr.facebook.com/jeancharleslarsonneur/;@JCLarsonneur;https://twitter.com/@JCLarsonneur
Finistère;3ème circonscription;Monsieur;Didier Le Gac;LREM;didier.legac@assemblee-nationale.fr;https://fr-fr.facebook.com/didierlegac2017/;@didierlegac;https://twitter.com/@didierlegac
Finistère;4ème circonscription;Madame;Sandrine Le Feur;LREM;sandrine.lefeur@assemblee-nationale.fr;https://www.facebook.com/sandrine.l.f;@SandrineLeFeur;https://twitter.com/@SandrineLeFeur
Finistère;5ème circonscription;Madame;Graziella Melchior;LREM;graziella.melchior@assemblee-nationale.fr;https://fr-fr.facebook.com/GraziellaMelchior/;@GrazieMelchior;https://twitter.com/@GrazieMelchior
Finistère;6ème circonscription;Monsieur;Richard Ferrand;LREM;richard.ferrand@assemblee-nationale.fr;https://www.facebook.com/RichardFerrandAN/;@RichardFerrand;https://twitter.com/@RichardFerrand
Finistère;7ème circonscription;Madame;Liliana Tanguy;LREM;liliane.tanguy@assemblee-nationale.fr;https://www.facebook.com/liliana.tanguy.9;@LilianeTanguyAN;https://twitter.com/@LilianeTanguyAN
Finistère;8ème circonscription;Monsieur;Erwan Balanant;MODEM;erwan.balanant@assemblee-nationale.fr;https://www.facebook.com/erwanbalanantdepute/;@erwanbalanant;https://twitter.com/@erwanbalanant
Français établis hors de France;1ère circonscription;Monsieur;Roland Lescure;LREM;roland.lescure@assemblee-nationale.fr;https://fr-fr.facebook.com/RolandLescure/;@rolandlescure;https://twitter.com/@rolandlescure
Français établis hors de France;2ème circonscription;Madame;Paula Forteza;non inscrit;paula.forteza@assemblee-nationale.fr;https://fr-fr.facebook.com/PaulaForteza/;@PaulaForteza;https://twitter.com/@PaulaForteza
Français établis hors de France;3ème circonscription;Monsieur;Alexandre Holroyd;LREM;alexandre.holroyd@assemblee-nationale.fr;https://www.facebook.com/AlexandreHolroyd/;@alexIholroyd;https://twitter.com/@alexIholroyd
Français établis hors de France;4ème circonscription;Monsieur;Pieyre-Alexandre Anglade;LREM;pieyre-alexandre.anglade@assemblee-nationale.fr;https://www.facebook.com/PAAnglade/;@PA_Anglade;https://twitter.com/@PA_Anglade
Français établis hors de France;5ème circonscription;Madame;Samantha Cazebonne;LREM;samantha.cazebonne@assemblee-nationale.fr;https://www.facebook.com/samantha.cazebonne.LaREM;@scazebonne;https://twitter.com/@scazebonne
Français établis hors de France;6ème circonscription;Monsieur;Joachim Son-Forget;non inscrit;joachim.son-forget@assemblee-nationale.fr;https://fr-fr.facebook.com/joachiforget/;@sonjoachim;https://twitter.com/@sonjoachim
Français établis hors de France;7ème circonscription;Monsieur;Frédéric Petit;MODEM;frederic.petit@assemblee-nationale.fr;https://www.facebook.com/fpetitAN/;@fpetitAN;https://twitter.com/@fpetitAN
Français établis hors de France;8ème circonscription;Monsieur;Meyer Habib;UDI;meyer.habib@assemblee-nationale.fr;https://www.facebook.com/avecvousmeyerhabib;@Meyer_Habib;https://twitter.com/@Meyer_Habib
Français établis hors de France;9ème circonscription;Monsieur;M'jid El Guerrab;AE;mjid.elguerrab@assemblee-nationale.fr;https://fr-fr.facebook.com/mjidelguerrab/;@mjidelguerrab;https://twitter.com/@mjidelguerrab
Français établis hors de France;10ème circonscription;Madame;Amélia Lakrafi;LREM;amelia.lakrafi@assemblee-nationale.fr;https://fr-fr.facebook.com/FDEcirco10/;@amelia_lkf;https://twitter.com/@amelia_lkf
Français établis hors de France;11ème circonscription;Madame;Anne Genetet;LREM;anne.genetet@assemblee-nationale.fr;https://www.facebook.com/AGenetet/;@AGenetet;https://twitter.com/@AGenetet
Gard;1ère circonscription;Madame;Françoise Dumas;LREM;francoise.dumas@assemblee-nationale.fr;https://www.facebook.com/francoise.dumas.5203;@fdumasdeputee;https://twitter.com/@fdumasdeputee
Gard;2ème circonscription;Monsieur;Nicolas Meizonnet;non inscrit;Nicolas.Meizonnet@assemblee-nationale.fr;https://www.facebook.com/NMeizonnet/;@NMeizonnet;https://twitter.com/@NMeizonnet
Gard;3ème circonscription;Monsieur;Anthony Cellier;LREM;anthony.cellier@assemblee-nationale.fr;https://fr-fr.facebook.com/AnthonyCellier2017/;@anthonycellier;https://twitter.com/@anthonycellier
Gard;4ème circonscription;Madame;Annie Chapelier;AE;annie.chapelier@assemblee-nationale.fr;https://fr-fr.facebook.com/anniechapelier2017/;@chapelierannie;https://twitter.com/@chapelierannie
Gard;5ème circonscription;Monsieur;Olivier Gaillard;non inscrit;olivier.gaillard@assemblee-nationale.fr;https://fr-fr.facebook.com/profile.php?id=100010310914944/;@OliveGaillard30;https://twitter.com/@OliveGaillard30
Gard;6ème circonscription;Monsieur;Philippe Berta;MODEM;philippe.berta@assemblee-nationale.fr;https://www.facebook.com/PBertaGard/;@PBertaGard;https://twitter.com/@PBertaGard
Gers;1ère circonscription;Monsieur;Jean-René Cazeneuve;LREM;jean-rene.cazeneuve@assemblee-nationale.fr;https://fr-fr.facebook.com/jrcazeneuve/;@jrcazeneuve;https://twitter.com/@jrcazeneuve
Gers;2ème circonscription;Madame;Gisèle Biémouret;PS;gisele.biemouret@assemblee-nationale.fr;https://www.facebook.com/gisele.biemouret;@GiseleBiemouret;https://twitter.com/@GiseleBiemouret
Gironde;1ère circonscription;Madame;Dominique David;LREM;dominique.david@assemblee-nationale.fr;https://fr-fr.facebook.com/DDavid2017/;@DominiqueDavid_;https://twitter.com/@DominiqueDavid_
Gironde;2ème circonscription;Madame;Catherine Fabre;LREM;catherine.fabre@assemblee-nationale.fr;https://fr-fr.facebook.com/CFABRE2017/;@cfabreAN;https://twitter.com/@cfabreAN
Gironde;3ème circonscription;Monsieur;Loïc Prud'homme;FI;loic.prudhomme@assemblee-nationale.fr;https://www.facebook.com/LoicPrudhommeFI/;@PrudhommeLoic;https://twitter.com/@PrudhommeLoic
Gironde;4ème circonscription;Monsieur;Alain David;PS;alain.david@assemblee-nationale.fr;https://www.facebook.com/AlainDavidAssembleeNationale/;@AlainDavid_AN;https://twitter.com/@AlainDavid_AN
Gironde;5ème circonscription;Monsieur;Benoit Simian;Libertéetterritoire;benoit.simian@assemblee-nationale.fr;https://fr-fr.facebook.com/BSmedoc/;@BenoitSimian;https://twitter.com/@BenoitSimian
Gironde;6ème circonscription;Monsieur;Éric Poulliat;LREM;eric.poulliat@assemblee-nationale.fr;https://fr-fr.facebook.com/ericpoulliat/;@EPoulliat;https://twitter.com/@EPoulliat
Gironde;7ème circonscription;Madame;Bérangère Couillard;LREM;berangere.couillard@assemblee-nationale.fr;https://fr-fr.facebook.com/BerangereCouillard33/;BCouillard33;https://twitter.com/BCouillard33
Gironde;8ème circonscription;Madame;Sophie Panonacle;LREM;sophie.panonacle@assemblee-nationale.fr;https://www.facebook.com/SoPanonacle;@SoPanonacle;https://twitter.com/@SoPanonacle
Gironde;9ème circonscription;Madame;Sophie Mette;MODEM;sophie.mette@assemblee-nationale.fr;https://www.facebook.com/sophiemettedeputee/;@SophieMette1;https://twitter.com/@SophieMette1
Gironde;10ème circonscription;Monsieur;Florent Boudié;LREM;florent.boudie@assemblee-nationale.fr;Pas de compte Facebook;@florent_boudie;https://twitter.com/@florent_boudie
Gironde;11ème circonscription;Madame;Véronique Hammerer;LREM;veronique.hammerer@assemblee-nationale.fr;https://www.facebook.com/hammerer2017/;@VeroLouwagie;https://twitter.com/@VeroLouwagie
Gironde;12ème circonscription;Madame;Christelle Dubos;LREM;christelle.dubos@assemblee-nationale.fr;https://fr-fr.facebook.com/duboschristelle/;@duboschristelle;https://twitter.com/@duboschristelle
Guadeloupe;1ère circonscription;Monsieur;Olivier Serva;LREM;olivier.serva@assemblee-nationale.fr;https://fr-fr.facebook.com/Olivier-SERVA-407236749324296/;@olivier_serva;https://twitter.com/@olivier_serva
Guadeloupe;2ème circonscription;Madame;Justine Benin;MODEM;justine.benin@assemblee-nationale.fr;https://fr-fr.facebook.com/justinebenin2/;@Justine_BENIN;https://twitter.com/@Justine_BENIN
Guadeloupe;3ème circonscription;Monsieur;Max Mathiasin;MODEM;max.mathiasin@assemblee-nationale.fr;https://www.facebook.com/Deputedeguadeloupe/;@MaxMathiasin;https://twitter.com/@MaxMathiasin
Guadeloupe;4ème circonscription;Madame;Hélène Vainqueur-Christophe;PS;helene.vainqueur@assemblee-nationale.fr;https://www.facebook.com/helene.vainqueurchristophe;@HeleneVainqueur;https://twitter.com/@HeleneVainqueur
Guyane;1ère circonscription;Monsieur;Gabriel Serville;GDR;gabriel.serville@assemblee-nationale.fr;https://fr-fr.facebook.com/GabrielServille/;@GabrielServille;https://twitter.com/@GabrielServille
Guyane;2ème circonscription;Monsieur;Lénaïck Adam;LREM;lenaick.adam@assemblee-nationale.fr;https://fr-fr.facebook.com/lenaick.adam/;@LenaickADAM;https://twitter.com/@LenaickADAM
Haut-Rhin;1ère circonscription;Monsieur;Yves Hemedinger;LR;yves.hemedinger@assemblee-nationale.fr;Pas de compte Facebook;@YvesHemedinger;https://twitter.com/@YvesHemedinger
Haut-Rhin;2ème circonscription;Monsieur;Jacques Cattin;LR;jacques.cattin@assemblee-nationale.fr;Pas de compte Facebook;@JCattin2017;https://twitter.com/@JCattin2017
Haut-Rhin;3ème circonscription;Monsieur;Jean-Luc Reitzer;LR;jean-luc.reitzer@assemblee-nationale.fr;https://fr-fr.facebook.com/jlrdepute/;@JL_Reitzer;https://twitter.com/@JL_Reitzer
Haut-Rhin;4ème circonscription;Monsieur;Raphaël Schellenberger;LR;raphael.schellenberger@assemblee-nationale.fr;https://fr-fr.facebook.com/SchellenbergerR /;@RSCactu;https://twitter.com/@RSCactu
Haut-Rhin;5ème circonscription;Monsieur;Olivier Becht;AE;olivier.becht@assemblee-nationale.fr;https://www.facebook.com/OlivierBecht68/;@becht_olivier;https://twitter.com/@becht_olivier
Haut-Rhin;6ème circonscription;Monsieur;Bruno Fuchs;MODEM;bruno.fuchs@assemblee-nationale.fr;https://fr-fr.facebook.com/BrunoFuchsHautRhin2017/;@bruno_fuchs;https://twitter.com/@bruno_fuchs
Haute-Corse;1ère circonscription;Monsieur;Michel Castellani;Libertéetterritoire;michel.castellani@assemblee-nationale.fr;https://www.facebook.com/MicheCastellani/;@Castellani_;https://twitter.com/@Castellani_
Haute-Corse;2ème circonscription;Monsieur;Jean-Félix Acquaviva;Libertéetterritoire;jean-felix.acquaviva@assemblee-nationale.fr;https://fr-fr.facebook.com/jeanfelixacquaviva/;@JF_Acquaviva;https://twitter.com/@JF_Acquaviva
Haute-Garonne;1ère circonscription;Monsieur;Pierre Cabaré;LREM;pierre.cabare@assemblee-nationale.fr;https://www.facebook.com/pierre.cabare.1;@DeputeCabareP;https://twitter.com/@DeputeCabareP
Haute-Garonne;2ème circonscription;Monsieur;Jean-Luc Lagleize;MODEM;jean-luc.lagleize@assemblee-nationale.fr;https://fr-fr.facebook.com/JL.Lagleize/;@jeanluclagleize;https://twitter.com/@jeanluclagleize
Haute-Garonne;3ème circonscription;Madame;Corinne Vignon;LREM;corinne.vignon@assemblee-nationale.fr;https://fr-fr.facebook.com/CorinneVignon.REM/;@corinnevignon;https://twitter.com/@corinnevignon
Haute-Garonne;4ème circonscription;Monsieur;Mickaël Nogal;LREM;mickael.nogal@assemblee-nationale.fr;https://fr-fr.facebook.com/deputemickaelnogal//;@mickaelnogal;https://twitter.com/@mickaelnogal
Haute-Garonne;5ème circonscription;Monsieur;Jean-François Portarrieu;LREM;jean-francois.portarrieu@assemblee-nationale.fr;Pas de compte Facebook;@jfportarrieu;https://twitter.com/@jfportarrieu
Haute-Garonne;6ème circonscription;Madame;Monique Iborra;LREM;monique.iborra@assemblee-nationale.fr;https://fr-fr.facebook.com/monique.iborra/;@MoniqueIborra;https://twitter.com/@MoniqueIborra
Haute-Garonne;7ème circonscription;Madame;Élisabeth Toutut-Picard;LREM;elisabeth.toutut-picard@assemblee-nationale.fr;https://fr-fr.facebook.com/Toutut-Picard/;@etoututpicard;https://twitter.com/@etoututpicard
Haute-Garonne;8ème circonscription;Monsieur;Joël Aviragnet;PS;joel.aviragnet@assemblee-nationale.fr;https://fr-fr.facebook.com/profile.php?id=100001391067319/;@JAviragnet;https://twitter.com/@JAviragnet
Haute-Garonne;9ème circonscription;Madame;Sandrine Mörch;LREM;sandrine.morch@assemblee-nationale.fr;https://fr-fr.facebook.com/SandrineMorch/;@SandrineMorch;https://twitter.com/@SandrineMorch
Haute-Garonne;10ème circonscription;Monsieur;Sébastien Nadot;non inscrit;sebastien.nadot@assemblee-nationale.fr;https://www.facebook.com/SebastienNadotDepute10HG/;@Sebastien_Nadot;https://twitter.com/@Sebastien_Nadot
Haute-Loire;1ère circonscription;Madame;Isabelle Valentin;LR;isabelle.valentin@assemblee-nationale.fr;https://www.facebook.com/isabelle.valentin.79;@isavalentin43;https://twitter.com/@isavalentin43
Haute-Loire;2ème circonscription;Monsieur;Jean-Pierre Vigier;LR;jean-pierre.vigier@assemblee-nationale.fr;https://fr-fr.facebook.com/VigierJP/;@j_pVigier;https://twitter.com/@j_pVigier
Haute-Marne;1ère circonscription;Monsieur;Sylvain Templier;LREM;sylvain.templier@assemblee-nationale.fr;https://www.facebook.com/sylv1templier/;@sylv1templier;https://twitter.com/@sylv1templier
Haute-Marne;2ème circonscription;Monsieur;François Cornut-Gentille;LR;francois.cornut-gentille@assemblee-nationale.fr;https://fr-fr.facebook.com/francoiscormierbouligeon2017/;@FCornutGentille;https://twitter.com/@FCornutGentille
Haute-Saône;1ère circonscription;Madame;Barbara Bessot Ballot;LREM;barbara.bessotballot@assemblee-nationale.fr;https://fr-fr.facebook.com/BessotBallot2017/;@B_BessotBallot;https://twitter.com/@B_BessotBallot
Haute-Saône;2ème circonscription;Monsieur;Christophe Lejeune;LREM;christophe.lejeune@assemblee-nationale.fr;https://www.facebook.com/christophelejeune70/?ref=ts;@lejeune_ch;https://twitter.com/@lejeune_ch
Haute-Savoie;1ère circonscription;Madame;Véronique Riotton;LREM;veronique.riotton@assemblee-nationale.fr;https://fr-fr.facebook.com/veronique.riotton.2017/;@V_Riotton;https://twitter.com/@V_Riotton
Haute-Savoie;2ème circonscription;Madame;Frédérique Lardet;LREM;frederique.lardet@assemblee-nationale.fr;https://fr-fr.facebook.com/frederique.lardet/;@F_Lardet;https://twitter.com/@F_Lardet
Haute-Savoie;3ème circonscription;Monsieur;Martial Saddier;LR;martial.saddier@assemblee-nationale.fr;https://fr-fr.facebook.com/martial.saddier.9/;@MartialSaddier;https://twitter.com/@MartialSaddier
Haute-Savoie;4ème circonscription;Madame;Virginie Duby-Muller;LR;virginie.duby-muller@assemblee-nationale.fr;https://fr-fr.facebook.com/vir.muller/;@DubyMuller;https://twitter.com/@DubyMuller
Haute-Savoie;5ème circonscription;Madame;Marion Lenne;LREM;https://www.atlantico.fr/decryptage/637241/pourquoi-votre-qi-ne-dit-pas-grand-chose-de-votre-intelligence-desole-sharon---jacques-lautrey-;https://fr-fr.facebook.com/Marion.Lenne.Deputee/;marion_lenne?lang=fr;https://twitter.com/marion_lenne?lang=fr
Haute-Savoie;6ème circonscription;Monsieur;Xavier Roseren;LREM;xavier.roseren@assemblee-nationale.fr;https://fr-fr.facebook.com/x.roseren/;@roserenxavier;https://twitter.com/@roserenxavier
Haute-Vienne;1ère circonscription;Madame;Sophie Beaudouin-Hubiere;LREM;sophie.beaudouin-hubiere@assemblee-nationale.fr;https://fr-fr.facebook.com/SophieBeaudouinHubiere/;@BeaudouinSo;https://twitter.com/@BeaudouinSo
Haute-Vienne;2ème circonscription;Monsieur;Pierre Venteau;LREM;Pierre.Venteau@assemblee-nationale.fr;Pas de compte Facebook;@PierreVenteau;https://twitter.com/@PierreVenteau
Haute-Vienne;3ème circonscription;Madame;Marie-Ange Magne;LREM;marie-ange.magne@assemblee-nationale.fr;https://fr-fr.facebook.com/marieangemagne/;@MarieAngeMagne;https://twitter.com/@MarieAngeMagne
Hautes-Alpes;1ère circonscription;Madame;Pascale Boyer;LREM;pascale.boyer@assemblee-nationale.fr;https://www.facebook.com/pascaleboyerdeputee05/;@PascaleBoyerEM;https://twitter.com/@PascaleBoyerEM
Hautes-Alpes;2ème circonscription;Madame;Claire Bouchet;LREM;claire.bouchet@assemblee-nationale.fr;https://www.facebook.com/claire.bouchet.731;;Pas de compte Twitter
Hautes-Pyrénées;1ère circonscription;Monsieur;Jean-Bernard Sempastous;LREM;jean-bernard.sempastous@assemblee-nationale.fr;https://www.facebook.com/jeanbernardsempastousdeputedesHautesPyrenees/;@Sempastoushp;https://twitter.com/@Sempastoushp
Hautes-Pyrénées;2ème circonscription;Madame;Jeanine Dubié;Libertéetterritoire;jeanine.dubie@assemblee-nationale.fr;https://fr-fr.facebook.com/jeaninedubie2017/;;Pas de compte Twitter
Hauts-de-Seine;1ère circonscription;Madame;Elsa Faucillon;GDR;elsa.faucillon@assemblee-nationale.fr;https://fr-fr.facebook.com/elsa.faucillon/;@elsafaucillon;https://twitter.com/@elsafaucillon
Hauts-de-Seine;2ème circonscription;Madame;Bénédicte Pételle;LREM;Benedicte.Petelle@assemblee-nationale.fr;Pas de compte Facebook;@DeputeeBPetelle;https://twitter.com/@DeputeeBPetelle
Hauts-de-Seine;3ème circonscription;Madame;Christine Hennion;LREM;christine.hennion@assemblee-nationale.fr;https://www.facebook.com/DeputeeHennion/;@Ch_Hennion;https://twitter.com/@Ch_Hennion
Hauts-de-Seine;4ème circonscription;Madame;Isabelle Florennes;MODEM;isabelle.florennes@assemblee-nationale.fr;https://fr-fr.facebook.com/isabelle.florennes/;@iflorennes92;https://twitter.com/@iflorennes92
Hauts-de-Seine;5ème circonscription;Madame;Céline Calvez;LREM;celine.calvez@assemblee-nationale.fr;https://www.facebook.com/CelineCalvez/;@celinecalvez;https://twitter.com/@celinecalvez
Hauts-de-Seine;6ème circonscription;Madame;Constance Le Grip;LR;constance.legrip@assemblee-nationale.fr;https://fr-fr.facebook.com/Deputee.ConstanceLeGrip/;@ConstanceLeGrip;https://twitter.com/@ConstanceLeGrip
Hauts-de-Seine;7ème circonscription;Monsieur;Jacques Marilossian;LREM;jacques.marilossian@assemblee-nationale.fr;https://www.facebook.com/jmarilossian/;@jmarilossian;https://twitter.com/@jmarilossian
Hauts-de-Seine;8ème circonscription;Monsieur;Jacques Maire;LREM;jacques.maire@assemblee-nationale.fr;https://fr-fr.facebook.com/JacquesMaireLREM/;@JMaireofficiel;https://twitter.com/@JMaireofficiel
Hauts-de-Seine;9ème circonscription;Monsieur;Thierry Solère;LREM;thierry.solere@assemblee-nationale.fr;https://fr-fr.facebook.com/tsolere/;@solere92;https://twitter.com/@solere92
Hauts-de-Seine;10ème circonscription;Madame;Florence Provendier;LREM;Florence.Provendier@assemblee-nationale.fr;https://www.facebook.com/florence.provendier;@flprovendier;https://twitter.com/@flprovendier
Hauts-de-Seine;11ème circonscription;Madame;Laurianne Rossi;LREM;laurianne.rossi@assemblee-nationale.fr;https://fr-fr.facebook.com/LaurianneRossiDeputee/;@lauriannerossi;https://twitter.com/@lauriannerossi
Hauts-de-Seine;12ème circonscription;Monsieur;Jean-Louis Bourlanges;MODEM;jean-louis.bourlanges@assemblee-nationale.fr;https://www.facebook.com/JLBourlanges2017/;;Pas de compte Twitter
Hauts-de-Seine;13ème circonscription;Madame;Frédérique Dumas;Libertéetterritoire;frederique.dumas@assemblee-nationale.fr;https://fr-fr.facebook.com/FrederiqueDumasLREM/;@dumasfrederique;https://twitter.com/@dumasfrederique
Hérault;1ère circonscription;Madame;Patricia Mirallès;LREM;patricia.miralles@assemblee-nationale.fr;https://fr-fr.facebook.com/patricia.miralles34000/;@MIRALLESMP;https://twitter.com/@MIRALLESMP
Hérault;2ème circonscription;Madame;Muriel Ressiguier;FI;muriel.ressiguier@assemblee-nationale.fr;https://fr-fr.facebook.com/Ressiguier2017/;@mressiguier;https://twitter.com/@mressiguier
Hérault;3ème circonscription;Madame;Coralie Dubost;LREM;coralie.dubost@assemblee-nationale.fr;https://www.facebook.com/CoralieDubostREM/;@CoDubost;https://twitter.com/@CoDubost
Hérault;4ème circonscription;Monsieur;Jean-François Eliaou;LREM;jean-francois.eliaou@assemblee-nationale.fr;https://fr-fr.facebook.com/JFEliaou/;@JFEliaou;https://twitter.com/@JFEliaou
Hérault;5ème circonscription;Monsieur;Philippe Huppé;AE;philippe.huppe@assemblee-nationale.fr;https://www.facebook.com/PhilippeHuppeAssembleeNationale/;@PhilippeHuppe;https://twitter.com/@PhilippeHuppe
Hérault;6ème circonscription;Madame;Emmanuelle Ménard;non inscrit;emmanuelle.menard@assemblee-nationale.fr;https://www.facebook.com/emenard34/;@emenard34;https://twitter.com/@emenard34
Hérault;7ème circonscription;Monsieur;Christophe Euzet;AE;christophe.euzet@assemblee-nationale.fr;https://fr-fr.facebook.com/C.Euzet.LREM/;@ChristopheEuzet;https://twitter.com/@ChristopheEuzet
Hérault;8ème circonscription;Monsieur;Nicolas Démoulin;LREM;nicolas.demoulin@assemblee-nationale.fr;https://fr-fr.facebook.com/NicolasDemoulinRepubliqueEnMarche/;@demoulinem;https://twitter.com/@demoulinem
Hérault;9ème circonscription;Monsieur;Patrick Vignal;LREM;patrick.vignal@assemblee-nationale.fr;https://www.facebook.com/patrick.vignal.5;@PatrickVignal;https://twitter.com/@PatrickVignal
Ille-et-Vilaine;1ère circonscription;Monsieur;Mustapha Laabid;LREM;mostapha.laabid@assemblee-nationale.fr;https://www.facebook.com/Circo3501/;@mustapha_laabid;https://twitter.com/@mustapha_laabid
Ille-et-Vilaine;2ème circonscription;Madame;Laurence Maillart-Méhaignerie;LREM;laurence.maillart-mehaignerie@assemblee-nationale.fr;https://fr-fr.facebook.com/LMaillartDeputeeLaREM/;@LMaillart;https://twitter.com/@LMaillart
Ille-et-Vilaine;3ème circonscription;Madame;Claudia Rouaux;PS;claudia.rouaux@assemblee-nationale.fr;https://fr-fr.facebook.com/claudiarouaux35/;@claudia_rouaux;https://twitter.com/@claudia_rouaux
Ille-et-Vilaine;4ème circonscription;Monsieur;Gaël Le Bohec;LREM;gael.lebohec@assemblee-nationale.fr;https://fr-fr.facebook.com/LeBohecGael/;@GaelLeBohec;https://twitter.com/@GaelLeBohec
Ille-et-Vilaine;5ème circonscription;Madame;Christine Cloarec-Le Nabour;LREM;christine.cloarec@assemblee-nationale.fr;https://www.facebook.com/ChristineCloarecLaRem/;@ChrisCloarec;https://twitter.com/@ChrisCloarec
Ille-et-Vilaine;6ème circonscription;Monsieur;Thierry Benoit;UDI;thierry.benoit@assemblee-nationale.fr;https://fr-fr.facebook.com/Thierry.Benoit.148/;@ThierryBenoit35;https://twitter.com/@ThierryBenoit35
Ille-et-Vilaine;7ème circonscription;Monsieur;Jean-Luc Bourgeaux;LR;jean-luc.bourgeaux@assemblee-nationale.fr;Pas de compte Facebook;;Pas de compte Twitter
Ille-et-Vilaine;8ème circonscription;Monsieur;Florian Bachelier;LREM;florian.bachelier@assemblee-nationale.fr;https://fr-fr.facebook.com/florianbachelierLREM/;@F_BACHELIER;https://twitter.com/@F_BACHELIER
Indre;1ère circonscription;Monsieur;François Jolivet;LREM;francois.jolivet@assemblee-nationale.fr;https://fr-fr.facebook.com/FJIndre/;@FJolivet36;https://twitter.com/@FJolivet36
Indre;2ème circonscription;Monsieur;Nicolas Forissier;LR;nicolas.forissier@assemblee-nationale.fr;https://www.facebook.com/nicolas.forissier;@N_Forissier;https://twitter.com/@N_Forissier
Indre-et-Loire;1ère circonscription;Monsieur;Philippe Chalumeau;LREM;philippe.chalumeau@assemblee-nationale.fr;https://fr-fr.facebook.com/ChalumeauPhilippe/;@Chalumeau_P;https://twitter.com/@Chalumeau_P
Indre-et-Loire;2ème circonscription;Monsieur;Daniel Labaronne;LREM;daniel.labaronne@assemblee-nationale.fr;https://www.facebook.com/danielabaronnedepute/;@LabaronneDaniel;https://twitter.com/@LabaronneDaniel
Indre-et-Loire;3ème circonscription;Madame;Sophie Auconie;UDI;sophie.auconie@assemblee-nationale.fr;https://fr-fr.facebook.com/sophieauconie/;@sophie_auconie;https://twitter.com/@sophie_auconie
Indre-et-Loire;4ème circonscription;Madame;Fabienne Colboc;LREM;fabienne.colboc@assemblee-nationale.fr;https://www.facebook.com/FabienneColboc3704/;@fabiennecolboc;https://twitter.com/@fabiennecolboc
Indre-et-Loire;5ème circonscription;Madame;Sabine Thillaye;MODEM;sabine.thillaye@assemblee-nationale.fr;https://fr-fr.facebook.com/SabineThillaye/;@SabineThillaye;https://twitter.com/@SabineThillaye
Isère;1ère circonscription;Madame;Camille Galliard-Minier;LREM;camille.galliard-minier@assemblee-nationale.fr;https://fr-fr.facebook.com/CGalliardMinier/;@GalliardM;https://twitter.com/@GalliardM
Isère;2ème circonscription;Monsieur;Jean-Charles Colas-Roy;LREM;jean-charles.colas-roy@assemblee-nationale.fr;https://fr-fr.facebook.com/JCColasRoy/;@JCColasRoy;https://twitter.com/@JCColasRoy
Isère;3ème circonscription;Madame;Émilie Chalas;LREM;emilie.chalas@assemblee-nationale.fr;https://fr-fr.facebook.com/emiliechalasofficiel/;@EmilieCChalas;https://twitter.com/@EmilieCChalas
Isère;4ème circonscription;Madame;Marie-Noëlle Battistel;PS;marie-noelle.battistel@assemblee-nationale.fr;https://www.facebook.com/marienoelle.battistel;@BattistelMarie;https://twitter.com/@BattistelMarie
Isère;5ème circonscription;Madame;Catherine Kamowski;LREM;catherine.kamowski@assemblee-nationale.fr;https://www.facebook.com/catherine.kamowski.509;@CKamowski3805;https://twitter.com/@CKamowski3805
Isère;6ème circonscription;Madame;Cendra Motin;LREM;cendra.motin@assemblee-nationale.fr;https://fr-fr.facebook.com/cendramotin.deputeeisere/;;Pas de compte Twitter
Isère;7ème circonscription;Madame;Monique Limon;LREM;monique.limon@assemblee-nationale.fr;https://fr-fr.facebook.com/www.facebook.com/moniquelimonlegislatives2017//;@3807Limon;https://twitter.com/@3807Limon
Isère;8ème circonscription;Madame;Caroline Abadie;LREM;caroline.abadie@assemblee-nationale.fr;https://fr-fr.facebook.com/caroline.abadie.16/;@AbadieCaroline;https://twitter.com/@AbadieCaroline
Isère;9ème circonscription;Madame;Élodie Jacquier-Laforge;MODEM;elodie.jacquier-laforge@assemblee-nationale.fr;https://www.facebook.com/elodiejacquierlaforge/;@elodiejala;https://twitter.com/@elodiejala
Isère;10ème circonscription;Madame;Marjolaine Meynier-Millefert;LREM;marjolaine.meynier-millefert@assemblee-nationale.fr;https://fr-fr.facebook.com/MarjolaineMeynierMillefert/;@M_MeynierM;https://twitter.com/@M_MeynierM
Jura;1ère circonscription;Madame;Danielle Brulebois;LREM;danielle.brulebois@assemblee-nationale.fr;https://fr-fr.facebook.com/daniellebrulebois/;@dbrulebois;https://twitter.com/@dbrulebois
Jura;2ème circonscription;Madame;Marie-Christine Dalloz;LR;marie-christine.dalloz@assemblee-nationale.fr;https://fr-fr.facebook.com/mariechristinedalloz/;;Pas de compte Twitter
Jura;3ème circonscription;Monsieur;Jean-Marie Sermier;LR;jean-marie.sermier@assemblee-nationale.fr;https://fr-fr.facebook.com/jeanmarie.sermier/;@jmsermier2014;https://twitter.com/@jmsermier2014
La Réunion;1ère circonscription;Monsieur;Philippe Naillet;PS;philippe.naillet@assemblee-nationale.fr;https://www.facebook.com/nailletphilippe/;@PNaillet;https://twitter.com/@PNaillet
